"census_tract","femaleP","childP","Ov70P","IncomeBl10KP","Income50K200KP","IncomeOv200KP","InLaborP","ByCarP","ByCabMotorBicycleP","CommuteOv20minP","NHwhiteP","blackP","AmIndP","asianP","hisP","minDisHosp","FQHCdrivetime","FQHCcount","Hospdrivetime","Hospcount","Rxdrivetime","Rxcount","MHdrivetime","MHcount","noHSP","disbP","SDOH","unempP","povP","pciE","NoIntPct","essnWrkP","vacantP","mobileP"
17031810800,51.1930585683297,20.4496154604614,8.42042989548413,3.50058343057176,55.5425904317386,4.31738623103851,67.2142526608052,53.4012031466913,0.925497454881999,46.0203609440074,71.0116347860383,2.64247682902781,0,6.44843226188129,19.8974561230527,2.23,6.76,157,5.69,55,2.4,676,8.62,98,12.18,9.8,2,5.6,6.3,28957,15.17,47.65,5.03,0
17031837800,48.7248724872487,32.973297329733,1.77017701770177,14.7637795275591,55.8070866141732,3.0511811023622,66.4566929133858,27.2834645669291,1.61417322834646,35.3937007874016,13.0813081308131,73.8073807380738,0,4.32043204320432,8.13081308130813,1.33,0,200,2.91,62,0,728,2,107,14.52,12.5,4,10.9,32.1,30186,11,28.07,20.59,0
17031063000,52.4833434282253,12.3258631132647,0,4.64562239428231,57.1768910065515,14.4133412745682,90.4146838885112,27.8721957851801,1.25764785859959,65.9415363698165,75.0757116898849,3.75529981829194,0,8.0557238037553,10.0242277407632,0.04,0,190,0,52,0,606,0,90,1.23,4,6,2.4,8.1,70400,5.76,17.64,4.98,0
17031310600,49.8495917490331,17.8341211860765,8.18650623119897,12.9306040938592,32.9505741387918,1.49775336994508,62.8678304239401,26.2593516209476,5.785536159601,38.9775561097257,18.0275032230339,9.9054576708208,0.752041254834551,0.343790287924366,69.8109153416416,1.45,0,205,4.66,59,0,686,2.02,99,33.07,11.6,6,5.7,26.2,24176,14.39,54.64,12.24,0
18089030500,49.5378927911275,30.3835489833641,7.87892791127542,14.996288047513,21.9747587230883,0.44543429844098,53.2463497980739,39.8881640260951,1.36688412550482,17.7694936315626,11.1598890942699,19.8706099815157,1.06284658040665,0,68.5536044362292,2.5,0,97,4.71,23,1.43,203,1.43,28,35.77,25.5,4,8.5,31,14881,26.09,67.44,14.26,0.94
17043846511,50.1538010839314,33.1185000732386,1.5233631170353,1.47208121827411,59.8477157360406,9.84771573604061,78.017420157611,63.0858564910825,0.311074243052675,51.8042306097055,57.0528782774279,10.7953713197598,0.703090669400908,7.98300864215615,23.2459352570675,1.49,6.14,16,6.14,7,0,168,12,19,10.9,6.6,3,6.8,9.1,27377,3,50.54,4.26,0
17197880109,48.3345534407028,24.4509516837482,6.25915080527086,6.16515837104072,62.89592760181,7.23981900452489,67.9829481714157,54.9697105676464,0.291676015256899,38.8153466457258,47.5475841874085,28.2210834553441,0,6.84480234260615,14.1837481698389,4.4,8.14,18,8.14,13,0,267,8.14,30,6.97,7.2,3,6.4,7.7,36349,3.9,33.89,3.81,0
17097862200,43.9950678175092,26.6091245376079,3.37854500616523,11.9313944817301,45.9358687546607,0.596569724086503,61.2028669367404,43.1598628856342,0,31.3804923652228,27.4722564734895,23.6251541307028,0,0.591861898890259,38.7176325524044,0.87,6.64,13,4.49,10,5.27,104,7.69,21,16.24,7.2,4,11.7,26.8,26218,16.83,51.62,12.48,0
17043841703,51.2474437627812,25.9986366734833,8.87525562372188,7.3109243697479,38.2633053221289,3.41736694677871,72.6833477135462,58.7057808455565,0.362381363244176,43.0025884383089,50.5930470347648,16.1826857532379,1.66325835037491,15.4328561690525,15.0511247443763,3.1,0,21,8.07,23,0,324,6.38,42,15.74,12.6,2,7.8,16,26785,11.91,34.65,6.74,0
17089851101,53.5558112773303,30.7479861910242,6.76639815880322,6.03566529492455,47.0507544581619,0,76.6139240506329,61.1075949367089,4.08227848101266,37.879746835443,39.5397008055236,13.1185270425777,1.9102416570771,1.6800920598389,36.8239355581128,1.69,3.88,18,5.45,7,2.44,165,3.88,15,21.16,12.8,3,7.1,8.5,26309,7.07,53.97,6.28,0
17031660301,54.8028872848418,43.4203220433093,1.83231538034425,19.1176470588235,13.9705882352941,0,74.9369217830109,33.3894028595458,0,35.744322960471,0.777345918933926,28.2620766240977,0,0,59.9111604664076,1.06,2.02,202,4.76,53,2.02,605,2.02,94,26.67,8.2,4,32.2,32.8,12068,38.65,69.83,18.94,0
17031170800,56.9689119170984,21.7616580310881,9.74093264248705,7.02127659574468,52.9078014184397,3.68794326241135,67.1172587236718,55.3285130462119,1.79188934297391,52.3105941527821,68.4455958549223,1.01036269430052,0,2.92746113989637,28.4974093264249,2.41,6.33,161,5.61,55,3.16,684,7.18,99,11.56,8.4,2,4,6.4,28625,30.61,62.94,5.15,0
17031800600,48.7421383647799,36.3993710691824,11.438679245283,1.43790849673203,35.8169934640523,54.7712418300654,52.7808676307008,29.8665183537264,1.11234705228031,37.4304783092325,91.7059748427673,0.628930817610063,0,3.65566037735849,2.75157232704403,2.98,8.84,84,5.17,36,3.65,481,5.17,57,1.74,6,2,7.7,4.3,95295,3.23,10.04,7.27,0
17031230900,52.3459061637535,34.0754369825207,4.71021159153634,20.8820403825717,38.3103081827843,3.40063761955367,64.5738779626828,34.1401916288452,4.059505799294,48.3358547655068,15.1425942962282,20.9567617295308,0,1.47194112235511,61.3615455381785,0.95,2.08,195,2.68,61,0,689,2.08,104,21.14,12.7,4,6.3,33.1,23198,13.19,50.06,13.67,0
17031804609,54.5761567038163,19.9763593380615,8.18980074299223,0.998751560549313,76.7790262172285,7.44902205576363,76.3412127440904,64.7276464542652,0.2672147995889,40.945529290853,55.5386693684566,1.6548463356974,0.455927051671732,32.9111786558595,6.23100303951368,3.16,12.6,34,9.13,24,0,422,8.28,42,2.51,8.8,2,3.5,3.2,52945,0.74,26.84,8.88,0
17031822101,52.3141654978962,22.7910238429173,8.55539971949509,4.28061831153389,55.7669441141498,1.12960760998811,69.3027210884354,55.0170068027211,0.368480725623583,46.2585034013605,74.380551659654,5.07246376811594,0,0.37400654511454,17.7653108929406,0.94,2.53,180,2.53,46,2.53,551,2.53,87,11.45,11.7,1,5,6.6,31819,11.88,42.51,3.52,0
17097861508,54.9180327868852,27.3664727657324,9.46589106292967,6.39795265515035,56.3019833653231,3.45489443378119,69.0902942171119,54.8867095028745,0,33.8518769022658,58.1438392384982,10.8143839238498,0.819672131147541,10.3913273400317,16.2876784769963,4.36,7.42,15,10.14,10,0,134,3.66,25,5.29,8.5,2,6.8,8.9,31994,12.11,48.48,5.63,0
17031520500,53.9241052177663,25.7654161276412,7.22294092281156,5.26666666666667,54.0666666666667,4.6,66.8267947691487,53.1892180410996,0,41.8201227648786,33.6136265631738,0.905562742561449,0.754635618801207,0,65.8042259594653,3.99,3.04,134,9.34,33,2.94,360,7.18,50,21.8,8,2,6.9,11.4,24694,10.52,59.84,4.09,0
