"census_tract","femaleP","childP","Ov70P","IncomeBl10KP","Income50K200KP","IncomeOv200KP","InLaborP","ByCarP","CommuteOv20minP","NHwhiteP","blackP","asianP","hisP","minDisHosp","FQHCdrivetime","FQHCcount","Hospdrivetime","Hospcount","Rxdrivetime","Rxcount","MHdrivetime","MHcount","noHSP","disbP","SDOH","unempP","povP","pciE","NoIntPct","essnWrkP","vacantP","mobileP"
34027046297,51.8497438816164,27.7461582242459,8.7080250426864,0.425531914893617,60.5957446808511,27.6595744680851,70.2830188679245,56.6400580551524,43.4687953555878,93.0848036425726,2.9026750142288,0.398406374501992,1.73591348890154,6.97,12.1,1,12.1,3,10.72,43,12.1,6,2.65,6.1,2,1.8,1.5,57539,1.36,20.48,8.04,0
34031246102,52.4116847826087,16.8478260869565,8.69565217391304,1.19971771347918,70.5010585744531,5.57515878616796,76.9831965611567,56.3892145369285,44.1187964048456,61.5149456521739,2.2758152173913,19.8369565217391,16.1684782608696,1.78,8.69,66,2.81,36,0,840,2.81,100,5.98,11.8,6,6.9,4.6,51038,6.17,27.7,2.11,0
34019011900,46.4462379588649,11.2470710752408,12.7570945066389,6.33837152608484,56.5577766942955,14.7245246221355,74.4434807747904,53.5993061578491,45.3888407054062,91.955219994793,2.78573288206196,1.56209320489456,3.540744597761,11.93,23.87,9,19.66,13,0,153,20.65,14,5.16,11.8,2,2.5,10.5,57761,2.36,23.43,8.58,0
34023002000,50.9502733663109,23.4053631866701,12.1843269981776,2.93715846994536,62.8415300546448,18.3743169398907,72.2778675282714,46.2358642972536,36.8012924071082,55.584483207498,10.1536058318146,27.0242124446759,4.73834938818016,1.86,4.26,37,6.47,30,0,573,9.95,62,6.76,7.6,2,4.5,1.4,54021,6.94,23.05,6.3,0
36059517302,55.2857142857143,22.2244897959184,13.1632653061224,5.26623756582797,50.3218256290228,12.4634289057929,62.8380054577028,48.5239394691144,32.5229471595138,65.1428571428572,2.46938775510204,7.3265306122449,16.8775510204082,1.49,5.48,26,4.72,19,4.72,535,11.21,53,19.66,7.8,2,5.4,12.9,41138,9.21,47.93,4.39,0
36059414001,52.0887420344583,28.5343403351428,8.21335850837857,0.743494423791822,71.2825278810409,5.94795539033457,70.7182320441989,53.2535297728668,46.5009208103131,1.27448666509323,76.2803870663205,0.141609629454803,23.4835968845882,3.54,0,69,8.93,28,3.59,934,3.59,92,16.19,8.2,5,11.4,4.3,28622,14.39,48.63,12.08,0
36047036300,58.2078121010978,29.9208577993362,8.14398774572377,13.9287945034354,24.6720799500312,1.4366021236727,59.7087378640777,11.6158113730929,50.0693481276006,4.69747255552719,82.001531784529,0,20.7301506254787,1.51,0,467,2.81,71,0,2784,2.04,275,22.32,11.2,6,6.2,28.1,18552,27.49,58.26,7.21,0
34013000200,51.6941249611439,31.1470313957103,5.81286913273236,16.7649536647009,31.3395113732098,3.11710193765796,58.4749274761707,35.9303771239121,40.2403646912557,10.7864470003108,13.4286602424619,2.7976375505129,73.0494249300591,0.7,3.46,211,2.59,66,0,1701,3.95,190,33.3,21.4,5,7.5,20.6,18439,34.16,52.6,4.08,0
36047055000,49.1478834524464,22.5948323254535,11.544804837823,9.59097320169253,49.8589562764457,4.44287729196051,56.9692878839015,12.6560917988525,46.0344245696929,70.8631115997801,0.879604178119846,12.4244090159428,15.1731720725673,0.52,2.57,269,2.12,54,0,2084,1.89,201,7.1,8.8,6,7.7,14.5,31241,18.19,55.37,8.29,0
34027045200,51.7336268574574,29.7743533296643,8.36543753439736,1.67785234899329,64.5134228187919,6.29194630872483,65.2587117212249,55.3326293558606,36.6068285814854,70.9961474958723,2.61419922949917,7.42982938910292,18.1342872867364,1.75,4.84,7,6.14,12,3.65,164,9.25,23,10.46,10.1,2,4.2,7,35450,8.91,38.43,5.94,0
36047083000,59.6716184519156,26.0985144644253,4.76935105551212,6.52951699463327,50.2236135957066,1.20751341681574,68.9566929133858,12.992125984252,58.7204724409449,1.53244722439406,87.5371383893667,3.4401876465989,8.86630179827991,1.28,2.73,266,4,51,0,2114,4.31,200,15.02,8.1,6,3.9,12.2,22064,15.51,70.7,8.63,0
34017010500,48.0772946859903,19.1304347826087,13.9710144927536,3.46487006737247,55.5822906641001,13.8594802694899,62.4046657694033,34.8586810228802,39.883355764917,59.1111111111111,9.64251207729469,12.6376811594203,21.4685990338164,1.29,8.34,262,3.69,71,2.69,1932,3.69,211,10.99,9.5,6,4.5,10.4,40200,7.81,41.76,5.88,0
36061015100,57.9276230148399,15.0611819838584,12.5097630825306,14.0925266903915,33.6654804270463,20.1186239620403,61.142686209991,2.21358061621298,45.4681423870775,36.7612600885186,15.1132517573549,16.7664670658683,33.6631085654777,0.61,1.48,511,2.06,101,1.1,3203,0,348,12.35,14.9,6,4.3,19.7,62039,9.89,18.39,13.5,0
36047076200,51.9169667443338,27.1976276212667,11.1205253124338,8.73065015479876,37.5851393188854,7.73993808049536,59.9506578947368,8.27850877192982,47.4780701754386,47.6382122431688,17.3056555814446,18.1105697945351,16.6490150391866,1.13,2.83,285,3.9,52,1.88,2134,2.83,212,19.78,9.9,6,1.6,32.6,30253,16.03,50.88,8.29,0.64
36087013300,52.9044834307992,15.5555555555556,15.7115009746589,2.93650793650794,62.0634920634921,17.4603174603175,65.2580071174377,49.1992882562278,43.4163701067616,78.1286549707602,3.54775828460039,9.55165692007797,6.19883040935673,4.47,8.11,84,8.11,30,3.67,575,10.34,90,6.09,6.2,2,2.9,5.4,74007,5.11,33.38,10.51,0
36119006300,52.2549800796813,20.7490039840637,14.5657370517928,10.1769911504425,33.0088495575221,0.663716814159292,57.0167198947962,25.4743565658463,22.3933871876761,13.7529880478088,30.9163346613546,4.39840637450199,45.1474103585657,0.08,8.62,307,0,65,0,1684,2.16,216,28.66,16.7,6,8.2,14.3,20767,26.08,58.4,1.7,0
34003040002,53.1022678647839,28.9901583226359,10.2267864783911,0,52.4296675191816,24.1048593350384,70.3620544484985,49.7333707549818,39.9663205164187,72.67864783911,3.76551133932392,17.5010697475396,2.4390243902439,2.04,7.88,323,7.14,72,0,1823,5.16,220,1.3,10.1,2,5.7,3.3,53380,0.92,21.13,0.87,0
36061014401,58.7364079490064,15.3168353955756,12.973378327709,5.38944259874492,47.7297895902547,29.9741602067183,71.2931034482759,5.38793103448276,51.0129310344828,85.920509936258,0.318710161229846,6.46794150731159,5.41807274090739,0.63,3.85,499,2.22,97,0,3064,2.22,336,1.81,7.1,6,4.7,5.1,119678,5.21,12.04,10.39,0
36005036700,52.6431718061674,38.9500734214391,3.59765051395007,17.8837555886736,23.8450074515648,2.9806259314456,59.2243767313019,15.5124653739612,40.6094182825485,1.21145374449339,28.0837004405286,0,75.0367107195301,1.1,0,423,3.37,89,1.5,2684,1.97,301,40.54,13.5,4,15,41.5,14476,29.21,48.97,8.3,0
34025800200,50.6484483557202,22.8578045391385,10.8151922186197,2.8555431131019,60.9742441209406,10.8622620380739,71.5634545959456,45.6817550680367,31.7411830047209,88.4668828161186,2.36220472440945,1.41269106067624,5.16442797591478,5.71,13.14,9,14.29,10,0,165,12.54,17,3.36,10.2,2,9.7,5,51114,8.06,40.02,11.48,0
36119002106,54.1818181818182,24.5090909090909,5.27272727272727,3.67149758454106,64.3478260869565,4.92753623188406,70.2652396463471,45.835272219637,52.1172638436482,18.4,30.2909090909091,29.7818181818182,21.1636363636364,2.95,10.9,275,7.98,56,0,1262,9.34,169,8.05,8.7,6,3.7,11.6,33521,8.27,46.86,2.9,0
36081056100,41.747572815534,35.9223300970874,7.76699029126214,0,90.9090909090909,9.09090909090909,87.8787878787879,31.8181818181818,69.6969696969697,28.1553398058252,45.6310679611651,7.76699029126214,7.76699029126214,2.44,6.48,477,7.51,74,3.43,2816,3.76,282,0,15,6,0,0,48402,0,23.68,0,0
