,origin,destination,minutes
3280470,36085018100,36047005601,239.0
3280472,36085018100,36047005400,237.13
3280473,36085018100,36047005202,236.6
3280480,36085018100,36085006700,101.17
3280484,36085018100,36047005201,234.7
3280486,36085018100,36047005000,230.91
3280487,36085018100,36047004600,223.16
3280488,36085018100,36047004400,221.8
3280507,36085018100,36047013200,224.19
3280513,36085018100,36047003800,219.71
3280516,36085018100,36047003400,215.35
3280527,36085018100,36047017600,269.18
3280528,36085018100,36047016800,264.24
3280529,36085018100,36047017400,266.0
3280530,36085018100,36047015400,256.85
3280531,36085018100,36047005602,242.35
3280532,36085018100,36047016400,252.97
3280544,36085018100,36047029200,276.2
3280545,36085018100,36047028600,275.36
3280546,36085018100,36047028200,272.46
3280547,36085018100,36047028000,269.77
3280550,36085018100,36047033600,327.21
3280553,36085018100,36085015400,65.02
3280554,36085018100,36085012805,51.16
3280556,36085018100,36085013204,52.66
3280563,36085018100,36085015603,81.68
3280565,36085018100,36085019800,144.92
3280566,36085018100,36085020803,136.95
3280567,36085018100,36085017600,111.19
3280572,36085018100,36085020804,123.8
3280582,36085018100,36085017007,95.65
3280593,36085019800,36085012804,130.88
3280596,36085019800,36085027900,118.69
3280597,36085019800,36085012806,119.14
3280599,36085019800,36085013800,116.77
3280602,36085019800,36085018100,144.92
3280603,36085019800,36085027302,138.66
3280605,36085019800,36085027301,140.98
3280606,36085019800,36085027704,117.94
3280609,36085019800,36085029102,140.15
3280610,36085019800,36085015400,114.12
3280611,36085019800,36085012805,115.03
3280613,36085019800,36085013204,101.14
3280617,36085019800,36085015603,66.17
3280619,36085019800,36085019800,0.0
3280620,36085019800,36085020803,38.04
3280621,36085019800,36085017600,35.23
3280629,36085019800,36085020804,33.17
3280639,36085019800,36085017007,76.84
3280645,36085019800,36085024402,59.65
3280646,36085019800,36085024401,60.15
3280700,36085012805,36085012804,25.0
3280702,36085012805,36085011201,56.33
3280705,36085012805,36085027900,41.15
3280706,36085012805,36085012806,13.26
3280708,36085012805,36085013800,27.77
3280712,36085012805,36085018100,51.16
3280715,36085012805,36085027302,75.33
3280717,36085012805,36085027301,84.05
3280721,36085012805,36085007400,89.27
3280725,36085012805,36085027704,65.77
3280728,36085012805,36085029102,112.44
3280743,36085012805,36085001800,95.56
3280749,36085012805,36085014700,97.53
3280757,36085012805,36085013302,121.66
3280765,36085012805,36085006700,133.68
3280768,36085012805,36047033600,355.88
3280769,36085012805,36085015400,35.0
3280770,36085012805,36085012805,0.0
3280772,36085012805,36085013204,22.87
3280777,36085012805,36085015603,51.66
3280779,36085012805,36085019800,115.03
3280780,36085012805,36085020803,121.09
3280781,36085012805,36085017600,87.28
3280788,36085012805,36085020804,107.94
3280798,36085012805,36085017007,88.91
3280803,36085012806,36085012804,12.17
3280805,36085012806,36085011201,44.52
3280808,36085012806,36085027900,39.18
3280809,36085012806,36085012806,0.0
3280811,36085012806,36085013800,25.13
3280815,36085012806,36085018100,43.27
3280818,36085012806,36085027302,68.07
3280820,36085012806,36085027301,76.79
3280824,36085012806,36085007400,76.05
3280828,36085012806,36085027704,68.77
3280831,36085012806,36085029102,111.8
3280847,36085012806,36085001800,86.08
3280853,36085012806,36085014700,88.53
3280861,36085012806,36085013302,113.63
3280864,36085012806,36047005601,258.21
3280866,36085012806,36047005400,256.34
3280867,36085012806,36047005202,255.81
3280874,36085012806,36085006700,124.69
3280878,36085012806,36047005201,253.91
3280880,36085012806,36047016800,283.44
3280881,36085012806,36047005602,261.55
3280882,36085012806,36047016400,272.18
3280885,36085012806,36047033600,346.42
3280888,36085012806,36085015400,39.11
3280889,36085012806,36085012805,13.26
3280891,36085012806,36085013204,26.98
3280892,36085012806,36047034000,344.23
3280893,36085012806,36047035200,339.28
3280900,36085012806,36085015603,55.77
3280902,36085012806,36085019800,119.14
3280903,36085012806,36085020803,125.2
3280904,36085012806,36085017600,91.39
3280910,36085012806,36085020804,112.05
3280920,36085012806,36085017007,91.91
3281668,36047033000,36085012804,342.46
3281670,36047033000,36085011201,315.04
3281676,36047033000,36085007400,286.54
3281682,36047033000,36085001800,280.97
3281690,36047033000,36047005601,98.19
3281692,36047033000,36047005400,101.3
3281693,36047033000,36047005202,105.34
3281695,36047033000,36047005201,106.18
3281697,36047033000,36047005000,109.24
3281698,36047033000,36047004600,109.99
3281699,36047033000,36047004400,116.24
3281714,36047033000,36047013200,101.03
3281719,36047033000,36047012801,103.62
3281724,36047033000,36047012600,112.48
