,origin,destination,minutes
1662147,17031720600,17031730700,38.83
1662149,17031720600,17031500200,79.88
1662152,17031720600,17031490700,58.82
1662153,17031720600,17031730500,51.62
1662154,17031720600,17031490600,64.73
1662155,17031720600,17031500100,92.35
1662156,17031720600,17031490500,80.62
1662157,17031720600,17031510300,129.01
1662158,17031720600,17031730100,62.61
1662159,17031720600,17031490400,88.64
1662160,17031720600,17031440900,98.23
1662161,17031720600,17031470100,108.96
1662165,17031720600,17031440800,105.06
1662169,17031720600,17031480100,138.47
1662170,17031720600,17031440202,109.51
1662172,17031720600,17031440300,99.55
1662174,17031720600,17031834300,127.98
1662195,17031720600,17031530503,80.75
1662196,17031720600,17031740400,53.21
1662197,17031720600,17031740300,52.35
1662201,17031720600,17031691500,127.29
1662203,17031720600,17031691000,117.47
1662208,17031720700,17031700100,100.11
1662213,17031720700,17031710200,80.61
1662214,17031720700,17031700200,118.77
1662215,17031720700,17031650500,148.28
1662217,17031720700,17031681300,92.5
1662218,17031720700,17031691100,93.79
1662219,17031720700,17031672000,86.5
1662222,17031720700,17031661000,92.94
1662223,17031720700,17031660900,102.29
1662226,17031720700,17031660800,116.0
1662227,17031720700,17031671500,95.51
1662230,17031720700,17031681200,104.42
1662232,17031720700,17031660700,107.05
1662235,17031720700,17031671300,101.93
1662236,17031720700,17031834900,103.39
1662243,17031720700,17031680900,115.2
1662244,17031720700,17031842500,127.46
1662245,17031720700,17031841800,129.04
1662248,17031720700,17031720600,13.37
1662250,17031720700,17031720200,15.68
1662251,17031720700,17031730400,29.44
1662257,17031720700,17031720500,23.16
1662260,17031720700,17031720400,32.11
1662270,17031720700,17031700402,91.99
1662271,17031720700,17031700502,73.64
1662272,17031720700,17031720100,38.65
1662274,17031720700,17031730201,42.12
1662276,17031720700,17031711300,44.44
1662278,17031720700,17031711500,59.62
1662279,17031720700,17031711200,54.99
1662280,17031720700,17031711100,59.23
1662281,17031720700,17031711000,59.78
1662282,17031720700,17031842400,78.34
1662284,17031720700,17031700302,107.82
1662288,17031720700,17031710900,66.23
1662289,17031720700,17031710500,63.71
1662291,17031720700,17031710700,68.87
1662292,17031720700,17031700401,105.02
1662294,17031720700,17031710800,70.67
1662296,17031720700,17031691200,85.1
1662303,17031720700,17031540101,108.15
1662304,17031720700,17031530502,73.94
1662305,17031720700,17031550200,156.85
1662308,17031720700,17031530400,65.21
1662309,17031720700,17031530501,65.83
